X,Y,U,V
4.000000000000001332e-01,-6.999999999999999556e-01,-2.004031319214936158e-01,7.609472226681000817e-02
5.000000000000000000e-01,-6.999999999999999556e-01,-2.099609433589373353e-01,-4.976482912895528223e-03
6.000000000000000888e-01,-6.999999999999999556e-01,-1.998910388453731812e-01,-8.365569728566400742e-02
7.000000000000001776e-01,-6.999999999999999556e-01,-1.634590686774089474e-01,-1.664727355071259907e-01
8.000000000000000444e-01,-6.999999999999999556e-01,-1.143964423141197173e-01,-2.258336299454606066e-01
9.000000000000001332e-01,-6.999999999999999556e-01,-4.773217987646657945e-02,-2.613379709577112742e-01
1.000000000000000000e+00,-6.999999999999999556e-01,3.249408756753714017e-02,-2.599435114785313972e-01
-1.000000000000000000e+00,-5.999999999999999778e-01,2.419804775948342090e-02,-3.135771242644281309e-01
-9.000000000000000222e-01,-5.999999999999999778e-01,7.134554072323122387e-02,-3.000374207331901744e-01
-8.000000000000000444e-01,-5.999999999999999778e-01,1.104146871472813235e-01,-2.500963783337303847e-01
-6.999999999999999556e-01,-5.999999999999999778e-01,1.395151464074410042e-01,-1.809396694136108374e-01
-5.999999999999999778e-01,-5.999999999999999778e-01,1.515757859600442847e-01,-9.291239464840467255e-02
-5.000000000000000000e-01,-5.999999999999999778e-01,1.482549234101781799e-01,2.015205963197820929e-03
-3.999999999999999112e-01,-5.999999999999999778e-01,1.265872836817345803e-01,1.016083899581104594e-01
-2.999999999999999334e-01,-5.999999999999999778e-01,1.003170030210185637e-01,1.892066932572245286e-01
-1.999999999999999556e-01,-5.999999999999999778e-01,6.955202605512211811e-02,2.623995734746427666e-01
-9.999999999999997780e-02,-5.999999999999999778e-01,3.499968463467523216e-02,3.018124207741493259e-01
0.000000000000000000e+00,-5.999999999999999778e-01,-5.167160305711704718e-03,3.122258428665989904e-01
1.000000000000000888e-01,-5.999999999999999778e-01,-3.658577959165659754e-02,3.001202080121555538e-01
2.000000000000001776e-01,-5.999999999999999778e-01,-6.550564308601981856e-02,2.529399744665968286e-01
